mechanism,target_rate,achieved_rate,file
MCAR,0.1,0.0993,test_energydata_MCAR_10percent.csv
MAR,0.1,0.0998,test_energydata_MAR_10percent.csv
MNAR,0.1,0.0992,test_energydata_MNAR_10percent.csv
MCAR,0.2,0.1999,test_energydata_MCAR_20percent.csv
MAR,0.2,0.1998,test_energydata_MAR_20percent.csv
MNAR,0.2,0.1993,test_energydata_MNAR_20percent.csv
MCAR,0.3,0.3004,test_energydata_MCAR_30percent.csv
MAR,0.3,0.3006,test_energydata_MAR_30percent.csv
MNAR,0.3,0.2985,test_energydata_MNAR_30percent.csv
MCAR,0.4,0.3995,test_energydata_MCAR_40percent.csv
MAR,0.4,0.3998,test_energydata_MAR_40percent.csv
MNAR,0.4,0.3992,test_energydata_MNAR_40percent.csv
MCAR,0.5,0.4995,test_energydata_MCAR_50percent.csv
MAR,0.5,0.4995,test_energydata_MAR_50percent.csv
MNAR,0.5,0.4993,test_energydata_MNAR_50percent.csv
MCAR,0.6,0.5993,test_energydata_MCAR_60percent.csv
MAR,0.6,0.5996,test_energydata_MAR_60percent.csv
MNAR,0.6,0.5998,test_energydata_MNAR_60percent.csv
MCAR,0.7,0.6992,test_energydata_MCAR_70percent.csv
MAR,0.7,0.6994,test_energydata_MAR_70percent.csv
MNAR,0.7,0.7003,test_energydata_MNAR_70percent.csv
MCAR,0.8,0.8001,test_energydata_MCAR_80percent.csv
MAR,0.8,0.8,test_energydata_MAR_80percent.csv
MNAR,0.8,0.8003,test_energydata_MNAR_80percent.csv
MCAR,0.9,0.8993,test_energydata_MCAR_90percent.csv
MAR,0.9,0.9001,test_energydata_MAR_90percent.csv
MNAR,0.9,0.9001,test_energydata_MNAR_90percent.csv
