date,AAPL_15min,ABT_15min,ADBE_15min,ADI_15min,AMAT_15min,AMD_15min,AMZN_15min,AVGO_15min,BAC_15min,BA_15min,BKNG_15min,CRM_15min,CSCO_15min,CVX_15min,C_15min,DE_15min,EEM_15min,F_15min,GILD_15min,GLD_15min,GM_15min,GOOGL_15min,GS_15min,HON_15min,IAU_15min,IBM_15min,INTC_15min,INTU_15min,ISRG_15min,IWM_15min,JNJ_15min,JPM_15min,KO_15min,LRCX_15min,LYFT_15min,MDLZ_15min,MDT_15min,META_15min,MRK_15min,MSFT_15min,MS_15min,MU_15min,NFLX_15min,NIO_15min,NKE_15min,NOW_15min,NVDA_15min,ORCL_15min,PEP_15min,PFE_15min
2019-03-29 11:45:00,47.34,79.47,265.77,105.26,39.41,25.48,89.09,29.94,27.44,380.47,69.96,157.37,53.73,122.78,62.15,160.5,42.85,8.74,65.38,122.36,37.2,58.73,191.63,149.66,24.82,140.61,53.77,260.5,189.16,152.75,139.33,101.1,46.65,17.84,85.43,49.54,90.61,166.21,79.25,117.48,42.06,41.03,35.57,5.07,84.76,49.17,4.46,53.5,121.96,42.28
2019-03-29 12:00:00,47.24,79.48,265.57,105.36,39.37,25.42,89.03,29.87,27.38,380.46,69.87,157.25,53.58,122.73,62.05,158.74,42.87,8.72,65.18,122.38,37.03,58.67,191.57,149.33,24.8,140.43,53.58,260.06,189.02,152.39,139.33,100.87,46.62,17.83,84.14,49.49,90.6,165.96,79.22,117.21,42.03,41.0,35.48,5.06,84.47,49.14,4.46,53.49,121.87,42.26
2019-03-29 12:15:00,47.32,79.54,265.99,105.22,39.37,25.41,89.13,29.84,27.42,381.72,70.0,157.65,53.71,123.08,62.2,159.24,42.91,8.73,65.36,122.31,37.02,58.77,192.02,149.56,24.82,140.65,53.6,260.56,189.41,152.63,139.29,101.05,46.64,17.82,83.25,49.49,90.77,166.45,79.25,117.55,42.18,41.0,35.52,5.07,84.51,49.26,4.47,53.51,121.87,42.3
2019-03-29 12:30:00,47.31,79.54,266.13,105.21,39.47,25.38,89.11,29.89,27.39,381.38,70.04,157.51,53.7,122.9,62.22,159.35,42.95,8.72,65.46,122.37,36.99,58.81,191.81,149.4,24.82,140.56,53.6,260.87,189.72,152.78,139.35,101.1,46.69,17.84,80.53,49.56,90.85,166.44,79.3,117.55,42.11,40.93,35.51,5.07,84.75,49.22,4.46,53.51,122.01,42.31
2019-03-29 12:45:00,47.33,79.6,265.93,105.11,39.51,25.36,89.15,29.95,27.38,381.42,70.0,157.61,53.72,123.02,62.16,159.07,42.95,8.76,65.49,122.34,37.01,58.8,191.83,149.56,24.82,140.63,53.62,260.65,189.63,153.02,139.38,100.98,46.69,17.87,81.01,49.61,90.92,166.32,79.25,117.48,42.16,40.95,35.53,5.07,84.69,49.22,4.46,53.55,122.01,42.33
2019-03-29 13:00:00,47.3,79.57,265.89,105.15,39.57,25.34,89.06,29.93,27.34,381.62,70.15,157.6,53.7,122.88,62.1,159.05,42.94,8.74,65.46,122.24,37.01,58.7,191.66,149.53,24.78,140.46,53.6,260.47,189.62,152.93,139.22,100.88,46.69,17.88,80.23,49.64,90.78,166.12,79.15,117.44,42.14,41.06,35.52,5.09,84.57,49.24,4.46,53.54,121.95,42.31
2019-03-29 13:15:00,47.3,79.57,265.77,105.12,39.52,25.29,88.96,29.99,27.36,381.09,70.07,157.56,53.76,122.84,62.13,159.24,42.9,8.75,65.53,122.14,37.04,58.74,191.6,149.53,24.76,140.52,53.61,260.29,189.58,152.74,139.36,101.0,46.73,17.87,80.35,49.63,90.77,166.09,79.19,117.38,42.16,41.05,35.5,5.08,84.49,49.17,4.47,53.6,122.01,42.33
2019-03-29 13:30:00,47.34,79.63,266.02,105.29,39.59,25.37,89.01,29.97,27.48,381.41,70.06,157.67,53.81,122.81,62.25,159.1,42.97,8.76,65.48,122.18,37.06,58.75,191.79,149.59,24.76,140.6,53.7,260.5,189.67,152.84,139.41,101.07,46.79,17.92,80.66,49.73,90.86,165.91,79.28,117.49,42.21,41.11,35.55,5.09,84.5,49.18,4.47,53.63,122.21,42.41
2019-03-29 13:45:00,47.32,79.65,266.03,105.24,39.6,25.34,88.9,29.96,27.38,381.0,70.14,157.75,53.77,122.73,62.12,158.9,42.95,8.75,65.47,122.15,37.05,58.66,191.43,149.63,24.76,140.6,53.74,260.58,189.63,152.76,139.59,100.96,46.77,17.9,80.59,49.73,90.81,165.72,79.35,117.45,42.13,41.07,35.51,5.08,84.42,49.13,4.47,53.63,122.14,42.43
2019-03-29 14:00:00,47.33,79.69,266.35,105.35,39.6,25.36,88.96,29.97,27.44,381.06,70.12,157.96,53.84,122.9,62.24,159.24,42.98,8.78,65.42,122.19,37.12,58.58,191.7,149.88,24.76,140.77,53.71,260.67,189.9,153.12,139.51,101.05,46.83,17.94,81.06,49.82,90.74,165.69,79.33,117.57,42.23,41.13,35.52,5.1,84.55,49.17,4.48,53.66,122.3,42.43
2019-03-29 14:15:00,47.38,79.69,266.3,105.57,39.62,25.44,89.07,30.02,27.42,380.84,70.15,157.9,53.87,122.86,62.2,159.48,42.97,8.79,65.23,122.12,37.15,58.64,191.69,149.8,24.76,140.81,53.68,260.72,189.93,153.1,139.4,101.04,46.79,17.95,81.63,49.77,90.87,166.29,79.25,117.59,42.2,41.13,35.53,5.1,84.4,49.18,4.49,53.62,122.34,42.44
2019-03-29 14:30:00,47.36,79.59,265.95,105.37,39.66,25.43,88.96,30.0,27.43,380.97,70.19,157.86,53.85,122.73,62.14,159.51,42.98,8.77,65.18,122.16,37.12,58.59,191.66,149.57,24.76,140.74,53.66,260.79,189.82,153.07,139.27,100.97,46.73,17.93,81.38,49.79,90.79,166.24,79.23,117.46,42.11,41.17,35.51,5.09,84.31,49.21,4.48,53.58,122.19,42.43
2019-03-29 14:45:00,47.46,79.78,265.93,105.47,39.75,25.47,89.1,30.07,27.48,380.9,70.21,158.11,53.87,123.07,62.32,159.78,42.97,8.8,65.28,122.05,37.21,58.71,192.15,149.81,24.76,140.93,53.71,261.07,190.21,153.25,139.6,101.26,46.74,17.96,80.72,49.84,91.05,166.31,79.38,117.68,42.24,41.28,35.6,5.1,84.43,49.28,4.49,53.63,122.26,42.54
2019-03-29 15:00:00,47.42,79.61,266.08,105.34,39.72,25.46,89.06,30.11,27.45,381.03,70.23,158.11,53.88,122.86,62.2,159.65,42.94,8.78,65.1,122.08,37.13,58.67,191.68,149.73,24.76,140.91,53.66,261.17,190.14,153.04,139.22,101.09,46.72,17.94,81.4,49.85,90.89,166.23,79.29,117.63,42.16,41.39,35.57,5.1,84.21,49.35,4.49,53.58,122.29,42.4
2019-03-29 15:15:00,47.35,79.76,265.97,105.37,39.75,25.48,88.98,30.06,27.46,380.56,69.94,158.07,53.85,122.92,62.17,159.61,42.9,8.78,65.06,122.03,37.1,58.71,191.74,149.65,24.74,140.85,53.66,261.21,190.18,152.97,139.36,101.09,46.7,17.95,80.7,49.81,91.03,166.43,79.21,117.63,42.19,41.38,35.54,5.11,84.12,49.32,4.48,53.6,122.33,42.4
2019-03-29 15:30:00,47.42,79.83,266.32,105.36,39.78,25.51,88.97,30.08,27.55,380.98,69.79,158.15,53.89,123.03,62.21,159.53,42.95,8.77,65.01,122.06,37.15,58.75,191.92,149.63,24.74,140.86,53.65,261.34,190.41,153.15,139.48,101.19,46.77,17.95,80.18,49.87,91.1,166.63,79.16,117.67,42.23,41.28,35.57,5.1,84.24,49.34,4.49,53.64,122.38,42.47
2019-03-29 15:45:00,47.49,79.98,266.49,105.26,39.65,25.52,89.06,30.07,27.58,381.42,69.8,158.39,54.0,123.16,62.24,159.79,42.94,8.77,65.02,122.02,37.1,58.82,191.99,149.74,24.76,141.11,53.71,261.48,190.19,153.1,139.79,101.26,46.85,17.9,78.36,49.91,91.09,166.66,79.28,117.95,42.21,41.33,35.66,5.09,84.21,49.3,4.49,53.72,122.52,42.47
2019-04-01 09:30:00,47.59,80.4,269.06,107.4,40.37,25.91,90.3,30.13,28.0,383.6,70.04,159.22,54.56,124.23,63.01,160.9,43.43,8.91,65.49,122.33,37.41,59.56,194.67,150.67,24.82,141.8,54.22,263.0,191.61,153.97,140.13,102.64,46.94,18.19,69.5,49.77,91.16,168.0,79.56,118.64,43.0,41.96,36.2,5.23,84.78,49.41,4.52,54.27,122.39,42.84
2019-04-01 09:45:00,47.54,80.17,269.47,107.31,40.48,26.07,90.2,30.27,28.01,384.42,69.92,159.62,54.55,124.57,62.97,160.81,43.43,8.91,65.53,122.33,37.45,59.66,194.26,150.81,24.82,141.57,54.16,262.17,191.07,154.19,139.89,102.52,47.03,18.21,70.24,49.8,91.16,168.09,79.39,118.57,42.77,41.74,36.22,5.2,84.86,49.16,4.52,54.16,122.69,42.81
