mechanism,target_rate,achieved_rate,file
MCAR,0.1,0.0997,test_finance_MCAR_10percent.csv
MAR,0.1,0.0997,test_finance_MAR_10percent.csv
MNAR,0.1,0.0998,test_finance_MNAR_10percent.csv
MCAR,0.2,0.2001,test_finance_MCAR_20percent.csv
MAR,0.2,0.1998,test_finance_MAR_20percent.csv
MNAR,0.2,0.2002,test_finance_MNAR_20percent.csv
MCAR,0.3,0.2999,test_finance_MCAR_30percent.csv
MAR,0.3,0.3001,test_finance_MAR_30percent.csv
MNAR,0.3,0.3005,test_finance_MNAR_30percent.csv
MCAR,0.4,0.3998,test_finance_MCAR_40percent.csv
MAR,0.4,0.4002,test_finance_MAR_40percent.csv
MNAR,0.4,0.4002,test_finance_MNAR_40percent.csv
MCAR,0.5,0.5002,test_finance_MCAR_50percent.csv
MAR,0.5,0.5006,test_finance_MAR_50percent.csv
MNAR,0.5,0.5002,test_finance_MNAR_50percent.csv
MCAR,0.6,0.6002,test_finance_MCAR_60percent.csv
MAR,0.6,0.6002,test_finance_MAR_60percent.csv
MNAR,0.6,0.5999,test_finance_MNAR_60percent.csv
MCAR,0.7,0.7003,test_finance_MCAR_70percent.csv
MAR,0.7,0.6999,test_finance_MAR_70percent.csv
MNAR,0.7,0.7002,test_finance_MNAR_70percent.csv
MCAR,0.8,0.8001,test_finance_MCAR_80percent.csv
MAR,0.8,0.8001,test_finance_MAR_80percent.csv
MNAR,0.8,0.8001,test_finance_MNAR_80percent.csv
MCAR,0.9,0.9,test_finance_MCAR_90percent.csv
MAR,0.9,0.8999,test_finance_MAR_90percent.csv
MNAR,0.9,0.9002,test_finance_MNAR_90percent.csv
