mechanism,target_rate,achieved_rate,file
MCAR,0.1,0.098,test_powerplant_MCAR_10percent.csv
MAR,0.1,0.1012,test_powerplant_MAR_10percent.csv
MNAR,0.1,0.0998,test_powerplant_MNAR_10percent.csv
MCAR,0.2,0.2001,test_powerplant_MCAR_20percent.csv
MAR,0.2,0.2013,test_powerplant_MAR_20percent.csv
MNAR,0.2,0.1995,test_powerplant_MNAR_20percent.csv
MCAR,0.3,0.2997,test_powerplant_MCAR_30percent.csv
MAR,0.3,0.2988,test_powerplant_MAR_30percent.csv
MNAR,0.3,0.2997,test_powerplant_MNAR_30percent.csv
MCAR,0.4,0.3981,test_powerplant_MCAR_40percent.csv
MAR,0.4,0.3957,test_powerplant_MAR_40percent.csv
MNAR,0.4,0.3996,test_powerplant_MNAR_40percent.csv
MCAR,0.5,0.4974,test_powerplant_MCAR_50percent.csv
MAR,0.5,0.5,test_powerplant_MAR_50percent.csv
MNAR,0.5,0.4995,test_powerplant_MNAR_50percent.csv
MCAR,0.6,0.5966,test_powerplant_MCAR_60percent.csv
MAR,0.6,0.5994,test_powerplant_MAR_60percent.csv
MNAR,0.6,0.6026,test_powerplant_MNAR_60percent.csv
MCAR,0.7,0.6987,test_powerplant_MCAR_70percent.csv
MAR,0.7,0.6998,test_powerplant_MAR_70percent.csv
MNAR,0.7,0.6972,test_powerplant_MNAR_70percent.csv
MCAR,0.8,0.801,test_powerplant_MCAR_80percent.csv
MAR,0.8,0.7998,test_powerplant_MAR_80percent.csv
MNAR,0.8,0.8013,test_powerplant_MNAR_80percent.csv
MCAR,0.9,0.9008,test_powerplant_MCAR_90percent.csv
MAR,0.9,0.9016,test_powerplant_MAR_90percent.csv
MNAR,0.9,0.9,test_powerplant_MNAR_90percent.csv
