mechanism,target_rate,achieved_rate,file
MCAR,0.1,0.0997,test_superconductivity_MCAR_10percent.csv
MAR,0.1,0.1003,test_superconductivity_MAR_10percent.csv
MNAR,0.1,0.1001,test_superconductivity_MNAR_10percent.csv
MCAR,0.2,0.2001,test_superconductivity_MCAR_20percent.csv
MAR,0.2,0.1997,test_superconductivity_MAR_20percent.csv
MNAR,0.2,0.1995,test_superconductivity_MNAR_20percent.csv
MCAR,0.3,0.2998,test_superconductivity_MCAR_30percent.csv
MAR,0.3,0.2997,test_superconductivity_MAR_30percent.csv
MNAR,0.3,0.2998,test_superconductivity_MNAR_30percent.csv
MCAR,0.4,0.3998,test_superconductivity_MCAR_40percent.csv
MAR,0.4,0.4001,test_superconductivity_MAR_40percent.csv
MNAR,0.4,0.4001,test_superconductivity_MNAR_40percent.csv
MCAR,0.5,0.5,test_superconductivity_MCAR_50percent.csv
MAR,0.5,0.4998,test_superconductivity_MAR_50percent.csv
MNAR,0.5,0.5001,test_superconductivity_MNAR_50percent.csv
MCAR,0.6,0.6001,test_superconductivity_MCAR_60percent.csv
MAR,0.6,0.5997,test_superconductivity_MAR_60percent.csv
MNAR,0.6,0.6003,test_superconductivity_MNAR_60percent.csv
MCAR,0.7,0.7,test_superconductivity_MCAR_70percent.csv
MAR,0.7,0.7001,test_superconductivity_MAR_70percent.csv
MNAR,0.7,0.7004,test_superconductivity_MNAR_70percent.csv
MCAR,0.8,0.7999,test_superconductivity_MCAR_80percent.csv
MAR,0.8,0.8001,test_superconductivity_MAR_80percent.csv
MNAR,0.8,0.8003,test_superconductivity_MNAR_80percent.csv
MCAR,0.9,0.8999,test_superconductivity_MCAR_90percent.csv
MAR,0.9,0.9,test_superconductivity_MAR_90percent.csv
MNAR,0.9,0.9,test_superconductivity_MNAR_90percent.csv
