mechanism,target_rate,achieved_rate,file
MCAR,0.1,0.098,test_winequality_MCAR_10percent.csv
MAR,0.1,0.1007,test_winequality_MAR_10percent.csv
MNAR,0.1,0.1006,test_winequality_MNAR_10percent.csv
MCAR,0.2,0.1999,test_winequality_MCAR_20percent.csv
MAR,0.2,0.2018,test_winequality_MAR_20percent.csv
MNAR,0.2,0.1971,test_winequality_MNAR_20percent.csv
MCAR,0.3,0.3002,test_winequality_MCAR_30percent.csv
MAR,0.3,0.2986,test_winequality_MAR_30percent.csv
MNAR,0.3,0.2989,test_winequality_MNAR_30percent.csv
MCAR,0.4,0.3989,test_winequality_MCAR_40percent.csv
MAR,0.4,0.3992,test_winequality_MAR_40percent.csv
MNAR,0.4,0.4015,test_winequality_MNAR_40percent.csv
MCAR,0.5,0.4975,test_winequality_MCAR_50percent.csv
MAR,0.5,0.5003,test_winequality_MAR_50percent.csv
MNAR,0.5,0.5025,test_winequality_MNAR_50percent.csv
MCAR,0.6,0.5965,test_winequality_MCAR_60percent.csv
MAR,0.6,0.5979,test_winequality_MAR_60percent.csv
MNAR,0.6,0.6,test_winequality_MNAR_60percent.csv
MCAR,0.7,0.6977,test_winequality_MCAR_70percent.csv
MAR,0.7,0.6992,test_winequality_MAR_70percent.csv
MNAR,0.7,0.6974,test_winequality_MNAR_70percent.csv
MCAR,0.8,0.8009,test_winequality_MCAR_80percent.csv
MAR,0.8,0.7994,test_winequality_MAR_80percent.csv
MNAR,0.8,0.8,test_winequality_MNAR_80percent.csv
MCAR,0.9,0.9007,test_winequality_MCAR_90percent.csv
MAR,0.9,0.9005,test_winequality_MAR_90percent.csv
MNAR,0.9,0.9004,test_winequality_MNAR_90percent.csv
